rank,company,city,location,phone,category,lead_score,priority,ml_cluster,source,profile_url
1,White Arch General Contracting & Maintenance LLC More Info,Abu Dhabi,"White Arch General Contracting & Maintenance LLC More Info Location : Office 203, 2nd Floor, Saeed Nasser Al Junaibi Building, Tourist Club Area City : Abu Dhabi P.O Box : 27612 Phone : 02 64... 02 6437371 Mobile : 055 4 ... 055 4645888 Products & Services : Electromechanical Contractors , Electromechanical Engineers And Consultants , HVAC Contractors , Read More...",26437371.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/white-arch-general-contracting-maintenance-llc-177815?p=U2FsdGVkX18WnX6al0ORoTpmIfQ5DDSLQmWHEJIlnpR31aLaOfx4RBkI8bqimLcq
2,Al Habara Electromechanical Contg More Info,Ras Al Khaimah,"Al Habara Electromechanical Contg More Info Location : Al Nakheel City : Ras Al Khaimah P.O Box : 30696 Phone : 07 22... 07 2234934 Mobile : 055 7 ... 055 7624183 Products & Services : Electromechanical Contractors , Electromechanical Engineers and Consultants , HVAC Contractors , Read More...",72234934.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/al-habara-electromechanical-contg-178330?p=U2FsdGVkX1%252B0cNR8WRMYRTIxv83%252BtG64D3D9LaxiI6qwPCcl%252BKbQ6eULiiGlyOuw
3,Enercon Electromechanical Works LLC More Info,Umm Al Quwain,"Enercon Electromechanical Works LLC More Info Location : United Gulf Office Building, Al Ittihad Street, Al Muqta, Al Madr 3 City : Umm Al Quwain P.O Box : 4918 Phone : 06 76... 06 7663492 Mobile : 055 5 ... 055 5899265 Products & Services : Electromechanical Contractors , Electrical Contractors , Plumbing Contractors , Read More...",67663492.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/enercon-electromechanical-works-llc-200189?p=U2FsdGVkX1%252BwTY7xbuufbfrP9ommXnIKprVcsOeEVByzKv87omvHRN%252FUNp3YJAXZ
4,Al Ghaima Engineering Company LLC More Info,Sharjah,"Al Ghaima Engineering Company LLC More Info Location : Street 14, Behind Macro Emirates Hypermarket, Industrial Area 6 City : Sharjah P.O Box : 4701 Phone : 06 54... 06 5431164 Mobile : 056 3 ... 056 3359005 Products & Services : Electromechanical Contractors , Electrical Motor Testing , Mechanical Services , Read More... Brands : WEG Motors",65431164.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/al-ghaima-engineering-company-llc-117517?p=U2FsdGVkX19eeMOTSwYk5dX4%252FeiZRAhoPJ45YRYPH1NNCnmYXj2AfK%252F9raMiDonK
5,Goodtech Electromechanical Works LLC More Info,Dubai,"Goodtech Electromechanical Works LLC More Info Location : Shaikha Mahara Building, Al Qusais Industrial Area 2 City : Dubai Phone : 058 5... 058 5672898 Products & Services : Electromechanical Contractors , Electrical Contractors , Electromechanical Maintenance , Read More...",585672898.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/goodtech-electromechanical-works-llc-199092?p=U2FsdGVkX1%252BwPf%252FLRahEWhuBt49pcPXW44PEyQqH9fKrQXURdWhDkMFvzaur0B8q
6,Bris Electromechanical Works More Info,Abu Dhabi,"Bris Electromechanical Works More Info Location : Musaffah City : Abu Dhabi P.O Box : 133185 Phone : 02 54... 02 5465600 Mobile : 056 4 ... 056 4666031 , 054 4 054 4417007 Products & Services : Electromechanical Contractors , Electromechanical Engineers and Consultants , General Contractors , Read More...",25465600.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/bris-electromechanical-works-181767?p=U2FsdGVkX19CVv7JoIj4HFfDJ1MEfsBMn3L%252BEbsJqZ99kjVE0P86CfACRn%252FB6mid
7,Tahani Al Bahir Contracting LLC More Info,Dubai,"Tahani Al Bahir Contracting LLC More Info Location : WH- 10, Ras Al Khor Ind Area City : Dubai P.O Box : 124681 Phone : 04 33... 04 3316600 Mobile : 050 1 ... 050 1289100 Products & Services : Electromechanical Contractors , HVAC Contractors , MEP Contractors , Read More... Brands : STONIM Solid Surfaces",43316600.0,MEP,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/tahani-al-bahir-contracting-llc-197565?p=U2FsdGVkX19Lrtlz%252F8VcmPuA5AY3EsWp6GhhJVqD7PWDiEIs2C5KIdYLKqSID0hw
8,Aspec Air Conditioning & Refrigeration Company LLC More Info,Umm Al Quwain,"Aspec Air Conditioning & Refrigeration Company LLC More Info Location : Office 3084, Al Alam Building, King Faizal Road City : Umm Al Quwain Phone : 06 76... 06 7647830 Mobile : 050 5 ... 050 5672467 Products & Services : Electromechanical Contractors , HVAC Contractors , AC Contractors , Read More... Brands : TRANE AC | TRANE AC Parts | CARRIER AC Units | Read More...",67647830.0,Electromechanical,100.0,HIGH,2,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/aspec-air-conditioning-refrigeration-company-llc-199911?p=U2FsdGVkX19v%252BxknRZC3t57p9bExzNw1tUKHbOpW1zTN%252FUiOdft6Fx%252BYOtlydJz%252B
9,Al Waseef Electromechanical Works More Info,Umm Al Quwain,"Al Waseef Electromechanical Works More Info Location : Near Sante Fitnesss, Umm Al Thoub, New Industrial Area City : Umm Al Quwain Mobile : 056 7 ... 056 7341243 , 056 3 056 3607989 Products & Services : Electromechanical Contractors , MEP Contractors , Plumbing And Sanitary Contractors , Read More...",567341243.0,MEP,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/al-waseef-electromechanical-works-191633?p=U2FsdGVkX1%252BiCbq99q%252BfFqm5sqDzBGb25JuLrZ3BcmI58c%252Fx84pA9oJzX41G0PHO
10,Avanzo Electromechanical Contracting LLC More Info,Abu Dhabi,"Avanzo Electromechanical Contracting LLC More Info Location : Office 411, Al Fahim Building Musaffah, M4 City : Abu Dhabi Mobile : 050 2 ... 050 2525180 Products & Services : Electromechanical Contractors , Fitout Contractors , Electrical Contractors , Read More...",502525180.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/avanzo-electromechanical-contracting-llc-194436?p=U2FsdGVkX1%252BASvcO8XpSt3a8O0rVCV3WbAO40lX5WhfLD7Bw3O0jTEW9ee0kk5HE
