rank,record_id,company,location,city,phone,source,profile_url,company_normalized,category,has_phone,has_location,has_profile,lead_score,ml_cluster,priority
1,1,White Arch General Contracting & Maintenance LLC More Info,"White Arch General Contracting & Maintenance LLC More Info Location : Office 203, 2nd Floor, Saeed Nasser Al Junaibi Building, Tourist Club Area City : Abu Dhabi P.O Box : 27612 Phone : 02 64... 02 6437371 Mobile : 055 4 ... 055 4645888 Products & Services : Electromechanical Contractors , Electromechanical Engineers And Consultants , HVAC Contractors , Read More...",Abu Dhabi,26437371.0,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/white-arch-general-contracting-maintenance-llc-177815?p=U2FsdGVkX18WnX6al0ORoTpmIfQ5DDSLQmWHEJIlnpR31aLaOfx4RBkI8bqimLcq,WHITE ARCH GENERAL CONTRACTING MAINTENANCE MORE INFO,Electromechanical,1,1,1,100.0,3,HIGH
2,27,Al Habara Electromechanical Contg More Info,"Al Habara Electromechanical Contg More Info Location : Al Nakheel City : Ras Al Khaimah P.O Box : 30696 Phone : 07 22... 07 2234934 Mobile : 055 7 ... 055 7624183 Products & Services : Electromechanical Contractors , Electromechanical Engineers and Consultants , HVAC Contractors , Read More...",Ras Al Khaimah,72234934.0,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/al-habara-electromechanical-contg-178330?p=U2FsdGVkX1%252B0cNR8WRMYRTIxv83%252BtG64D3D9LaxiI6qwPCcl%252BKbQ6eULiiGlyOuw,AL HABARA ELECTROMECHANICAL CONTG MORE INFO,Electromechanical,1,1,1,100.0,3,HIGH
3,25,Enercon Electromechanical Works LLC More Info,"Enercon Electromechanical Works LLC More Info Location : United Gulf Office Building, Al Ittihad Street, Al Muqta, Al Madr 3 City : Umm Al Quwain P.O Box : 4918 Phone : 06 76... 06 7663492 Mobile : 055 5 ... 055 5899265 Products & Services : Electromechanical Contractors , Electrical Contractors , Plumbing Contractors , Read More...",Umm Al Quwain,67663492.0,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/enercon-electromechanical-works-llc-200189?p=U2FsdGVkX1%252BwTY7xbuufbfrP9ommXnIKprVcsOeEVByzKv87omvHRN%252FUNp3YJAXZ,ENERCON ELECTROMECHANICAL WORKS MORE INFO,Electromechanical,1,1,1,100.0,3,HIGH
4,34,Al Ghaima Engineering Company LLC More Info,"Al Ghaima Engineering Company LLC More Info Location : Street 14, Behind Macro Emirates Hypermarket, Industrial Area 6 City : Sharjah P.O Box : 4701 Phone : 06 54... 06 5431164 Mobile : 056 3 ... 056 3359005 Products & Services : Electromechanical Contractors , Electrical Motor Testing , Mechanical Services , Read More... Brands : WEG Motors",Sharjah,65431164.0,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/al-ghaima-engineering-company-llc-117517?p=U2FsdGVkX19eeMOTSwYk5dX4%252FeiZRAhoPJ45YRYPH1NNCnmYXj2AfK%252F9raMiDonK,AL GHAIMA ENGINEERING MORE INFO,Electromechanical,1,1,1,100.0,3,HIGH
5,32,Goodtech Electromechanical Works LLC More Info,"Goodtech Electromechanical Works LLC More Info Location : Shaikha Mahara Building, Al Qusais Industrial Area 2 City : Dubai Phone : 058 5... 058 5672898 Products & Services : Electromechanical Contractors , Electrical Contractors , Electromechanical Maintenance , Read More...",Dubai,585672898.0,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/goodtech-electromechanical-works-llc-199092?p=U2FsdGVkX1%252BwPf%252FLRahEWhuBt49pcPXW44PEyQqH9fKrQXURdWhDkMFvzaur0B8q,GOODTECH ELECTROMECHANICAL WORKS MORE INFO,Electromechanical,1,1,1,100.0,3,HIGH
6,31,Bris Electromechanical Works More Info,"Bris Electromechanical Works More Info Location : Musaffah City : Abu Dhabi P.O Box : 133185 Phone : 02 54... 02 5465600 Mobile : 056 4 ... 056 4666031 , 054 4 054 4417007 Products & Services : Electromechanical Contractors , Electromechanical Engineers and Consultants , General Contractors , Read More...",Abu Dhabi,25465600.0,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/bris-electromechanical-works-181767?p=U2FsdGVkX19CVv7JoIj4HFfDJ1MEfsBMn3L%252BEbsJqZ99kjVE0P86CfACRn%252FB6mid,BRIS ELECTROMECHANICAL WORKS MORE INFO,Electromechanical,1,1,1,100.0,3,HIGH
7,30,Tahani Al Bahir Contracting LLC More Info,"Tahani Al Bahir Contracting LLC More Info Location : WH- 10, Ras Al Khor Ind Area City : Dubai P.O Box : 124681 Phone : 04 33... 04 3316600 Mobile : 050 1 ... 050 1289100 Products & Services : Electromechanical Contractors , HVAC Contractors , MEP Contractors , Read More... Brands : STONIM Solid Surfaces",Dubai,43316600.0,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/tahani-al-bahir-contracting-llc-197565?p=U2FsdGVkX19Lrtlz%252F8VcmPuA5AY3EsWp6GhhJVqD7PWDiEIs2C5KIdYLKqSID0hw,TAHANI AL BAHIR CONTRACTING MORE INFO,MEP,1,1,1,100.0,3,HIGH
8,24,Aspec Air Conditioning & Refrigeration Company LLC More Info,"Aspec Air Conditioning & Refrigeration Company LLC More Info Location : Office 3084, Al Alam Building, King Faizal Road City : Umm Al Quwain Phone : 06 76... 06 7647830 Mobile : 050 5 ... 050 5672467 Products & Services : Electromechanical Contractors , HVAC Contractors , AC Contractors , Read More... Brands : TRANE AC | TRANE AC Parts | CARRIER AC Units | Read More...",Umm Al Quwain,67647830.0,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/aspec-air-conditioning-refrigeration-company-llc-199911?p=U2FsdGVkX19v%252BxknRZC3t57p9bExzNw1tUKHbOpW1zTN%252FUiOdft6Fx%252BYOtlydJz%252B,ASPEC AIR CONDITIONING REFRIGERATION MORE INFO,Electromechanical,1,1,1,100.0,2,HIGH
9,22,Al Waseef Electromechanical Works More Info,"Al Waseef Electromechanical Works More Info Location : Near Sante Fitnesss, Umm Al Thoub, New Industrial Area City : Umm Al Quwain Mobile : 056 7 ... 056 7341243 , 056 3 056 3607989 Products & Services : Electromechanical Contractors , MEP Contractors , Plumbing And Sanitary Contractors , Read More...",Umm Al Quwain,567341243.0,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/al-waseef-electromechanical-works-191633?p=U2FsdGVkX1%252BiCbq99q%252BfFqm5sqDzBGb25JuLrZ3BcmI58c%252Fx84pA9oJzX41G0PHO,AL WASEEF ELECTROMECHANICAL WORKS MORE INFO,MEP,1,1,1,100.0,3,HIGH
10,21,Avanzo Electromechanical Contracting LLC More Info,"Avanzo Electromechanical Contracting LLC More Info Location : Office 411, Al Fahim Building Musaffah, M4 City : Abu Dhabi Mobile : 050 2 ... 050 2525180 Products & Services : Electromechanical Contractors , Fitout Contractors , Electrical Contractors , Read More...",Abu Dhabi,502525180.0,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/avanzo-electromechanical-contracting-llc-194436?p=U2FsdGVkX1%252BASvcO8XpSt3a8O0rVCV3WbAO40lX5WhfLD7Bw3O0jTEW9ee0kk5HE,AVANZO ELECTROMECHANICAL CONTRACTING MORE INFO,Electromechanical,1,1,1,100.0,3,HIGH
